region,villager,identifier,mean_trend,p95_trend,recent_4w,TrendsScore,tier,rank,official_rank_overall,OfficialScore,TrendsScore_norm,PopularityIndex,rank_region
Japan,Cube,ビス どうぶつの森,0.0,0.0,0.0,0.0,4.0,13.0,83.0,0.8009708737864077,0.0,0.32038834951456313,115
Japan,Curlos,カルロス どうぶつの森,0.0,0.0,0.0,0.0,6.0,90.0,340.0,0.1771844660194175,0.0,0.07087378640776701,324
Japan,Curly,ハムカツ どうぶつの森,0.0,0.0,0.0,0.0,6.0,156.0,406.0,0.016990291262135915,0.0,0.006796116504854366,379
Japan,Curt,ガンテツ どうぶつの森,0.029,0.0,0.0,0.02,6.0,58.0,308.0,0.25485436893203883,0.3278688524590164,0.29866305904822543,139
Japan,Cyd,パンクス どうぶつの森 住民 elephant,0.0,0.0,0.0,0.0,5.0,33.0,163.0,0.6067961165048543,0.0,0.24271844660194175,184
Japan,Cyrano,さくらじま どうぶつの森,0.0,0.0,0.0,0.0,6.0,125.0,375.0,0.09223300970873782,0.0,0.03689320388349513,353
Japan,Daisy,バニラ どうぶつの森,0.0,0.0,0.0,0.0,3.0,28.0,68.0,0.837378640776699,0.0,0.33495145631067963,100
Japan,Deena,まりも どうぶつの森,0.0,0.0,0.0,0.0,6.0,83.0,333.0,0.19417475728155342,0.0,0.07766990291262138,317
Japan,Deirdre,ナディア どうぶつの森,0.0,0.0,0.0,0.0,3.0,19.0,59.0,0.8592233009708738,0.0,0.34368932038834954,90
Japan,Del,ヤマト どうぶつの森 住民 alligator,0.0,0.0,0.0,0.0,6.0,55.0,305.0,0.2621359223300971,0.0,0.10485436893203884,295
Japan,Deli,デリー どうぶつの森,0.0,0.0,0.0,0.0,5.0,10.0,140.0,0.662621359223301,0.0,0.2650485436893204,164
Japan,Derwin,ボン どうぶつの森,0.035,0.0,0.0,0.024,5.0,71.0,201.0,0.5145631067961165,0.39344262295081966,0.44189081648893835,40
Japan,Diana,ナタリー どうぶつの森,0.0,0.0,0.0,0.0,2.0,8.0,23.0,0.9466019417475728,0.0,0.3786407766990292,63
